Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,OnTimeDelivery
F,Flight,5,5,65,7,medium,F,37,1202,1
D,Ship,4,4,268,10,medium,F,41,2063,0
D,Ship,7,4,133,9,high,M,2,3013,1
C,Ship,2,2,239,7,medium,F,36,4379,1
C,Flight,4,2,187,7,medium,M,16,6225,1
A,Road,4,5,158,10,medium,F,32,3532,0
A,Road,3,5,111,5,low,F,9,6576,0
D,Road,2,4,210,10,medium,M,36,2853,1
D,Road,5,3,248,9,low,F,32,7525,1
A,Flight,3,3,219,4,medium,M,27,4960,0
A,Road,3,1,93,5,medium,M,41,6225,0
B,Ship,6,3,223,8,low,F,57,6083,0
B,Flight,5,3,135,4,high,M,47,1789,1
A,Flight,4,2,284,4,low,M,50,5388,1
B,Ship,7,1,130,9,low,F,9,2431,0
F,Ship,4,1,250,6,low,M,7,3035,0
D,Road,4,2,171,6,low,F,15,4084,0
D,Ship,6,3,153,9,high,M,61,1596,1
A,Flight,4,3,251,7,low,M,48,1735,0
C,Flight,2,1,277,6,low,F,14,5401,0
A,Flight,4,3,272,2,low,M,15,4165,1
B,Road,4,1,208,6,low,F,26,7376,1
C,Road,2,3,182,9,low,F,46,5784,1
B,Ship,6,4,169,10,medium,M,25,5038,1
F,Road,3,2,195,7,low,M,40,2404,0
B,Road,5,5,183,4,medium,F,10,895,1
F,Flight,6,4,155,9,medium,F,8,7576,0
F,Flight,4,3,227,6,low,M,53,4179,0
B,Ship,3,5,176,3,high,M,10,3071,1
B,Flight,5,4,77,2,medium,F,6,6187,1
F,Road,5,2,156,9,low,M,27,3482,1
C,Ship,5,5,73,3,high,F,61,3775,1
F,Ship,2,5,246,4,medium,M,54,3540,0
D,Flight,2,2,77,10,medium,F,35,1835,0
F,Flight,3,4,235,2,medium,M,62,6126,0
C,Flight,4,5,244,9,medium,M,50,6750,1
D,Ship,3,2,195,3,high,M,47,2068,0
A,Flight,4,4,53,9,low,F,9,5515,1
A,Road,6,3,153,3,low,M,25,3218,0
C,Ship,5,1,226,8,low,F,52,1713,1
F,Flight,5,3,177,4,low,F,42,3554,1
B,Road,2,3,177,5,low,M,16,2513,1
C,Road,6,1,155,2,low,M,26,6093,1
D,Flight,7,3,209,2,low,M,21,4085,0
D,Road,6,3,145,9,low,M,35,5671,1
A,Ship,4,2,176,9,medium,M,32,7236,0
D,Ship,6,2,260,3,medium,F,52,5236,1
C,Road,2,4,142,5,low,M,10,7463,0
D,Ship,4,5,274,3,low,F,28,1874,0
C,Flight,3,4,115,9,low,M,37,879,0
B,Road,4,2,107,8,low,F,57,592,0
A,Ship,3,2,60,8,low,M,14,7102,0
D,Flight,7,1,160,4,medium,F,53,992,1
C,Flight,4,1,296,6,high,M,61,1655,0
F,Ship,5,2,274,2,low,M,56,5463,1
A,Road,7,3,282,5,low,M,57,4603,1
B,Flight,3,4,153,5,medium,M,48,4951,0
C,Flight,2,2,114,2,medium,F,52,1442,1
B,Flight,7,2,177,8,low,M,28,1160,0
B,Flight,7,1,283,6,low,M,32,6974,1
D,Road,7,4,66,2,medium,M,45,1919,1
D,Ship,3,4,163,6,low,M,53,7885,1
C,Ship,3,5,129,9,low,F,6,5966,0
F,Ship,4,2,115,9,low,F,28,2237,0
C,Flight,5,5,167,3,medium,M,8,2285,0
F,Road,7,1,162,2,low,F,48,5978,1
B,Ship,4,5,181,3,medium,M,50,2880,1
A,Road,4,3,209,7,low,M,7,4287,0
C,Ship,5,2,120,6,low,F,54,6724,1
C,Flight,4,2,206,5,low,M,64,6707,0
F,Ship,5,4,110,9,medium,M,14,4111,0
B,Flight,2,5,237,6,medium,F,50,4167,0
B,Flight,5,4,250,5,high,F,33,954,0
F,Ship,6,5,107,9,low,M,11,4075,1
B,Road,5,5,276,2,high,M,44,4155,0
D,Flight,5,1,293,10,medium,M,30,6102,1
A,Road,6,5,102,3,low,M,53,3024,1
C,Ship,5,4,54,9,low,M,21,802,1
A,Flight,3,5,163,10,low,M,63,3330,0
C,Road,4,5,110,9,low,M,59,3775,0
D,Flight,4,2,70,10,high,M,27,3208,1
B,Ship,2,2,235,5,low,F,20,3619,0
F,Flight,2,2,258,3,low,F,42,963,1
D,Ship,6,3,280,4,medium,M,26,787,1
A,Road,3,2,63,9,low,M,22,7673,0
F,Flight,2,3,145,6,low,M,35,1867,0
B,Road,4,3,128,5,low,M,37,3923,1
D,Ship,2,4,262,4,low,M,15,6021,0
F,Ship,2,2,231,4,high,F,42,6827,0
D,Road,5,5,127,8,low,F,40,5471,0
D,Road,2,1,90,9,low,F,43,1981,1
B,Ship,6,5,65,6,low,M,51,6352,0
C,Road,4,2,100,9,low,F,16,6140,0
F,Ship,6,5,50,10,low,M,51,7552,1
B,Road,6,2,89,5,medium,M,42,7910,0
D,Ship,7,2,67,3,low,F,22,6670,1
B,Ship,3,5,83,6,medium,F,0,2171,0
C,Flight,7,3,267,3,medium,M,24,3752,0
F,Ship,7,4,238,3,medium,F,5,4149,1
C,Ship,5,4,149,7,medium,M,53,2269,1
A,Flight,6,4,198,2,medium,F,22,7671,0
F,Flight,3,4,178,3,low,F,18,7101,1
C,Road,4,1,204,6,low,M,55,1281,0
D,Road,4,2,228,6,low,M,52,524,1
F,Ship,3,1,188,4,medium,F,30,7324,0
F,Road,6,4,169,6,low,M,37,5057,1
B,Road,6,4,151,10,low,F,18,1725,1
D,Ship,5,5,164,3,low,F,0,7355,0
A,Flight,5,4,63,7,low,F,49,7289,1
C,Flight,7,2,141,9,medium,F,57,2296,1
B,Ship,4,4,232,4,low,M,31,5512,1
C,Ship,5,4,204,3,medium,M,48,3748,1
A,Ship,3,1,199,2,medium,M,43,3466,0
A,Ship,4,2,70,2,low,F,28,6680,1
F,Ship,6,3,169,5,low,M,47,3654,0
A,Ship,4,5,201,7,low,M,25,3368,0
C,Road,2,3,68,8,high,F,6,1700,1
D,Road,4,1,73,9,medium,M,43,7879,1
D,Road,5,4,75,9,low,F,13,5234,0
F,Flight,3,5,202,2,low,M,51,3781,1
C,Ship,6,2,94,9,medium,F,31,6535,1
C,Ship,6,5,157,2,low,F,31,1443,0
A,Road,5,1,206,4,high,M,56,6398,1
C,Flight,5,4,251,6,medium,M,51,1090,0
B,Road,5,1,292,9,medium,M,33,6739,0
A,Ship,2,2,188,9,low,M,60,1662,0
B,Ship,3,3,73,7,low,F,61,7911,0
F,Road,2,4,73,5,low,F,30,4816,0
D,Road,5,4,61,5,high,M,28,987,0
F,Ship,3,1,184,9,low,F,30,794,0
D,Road,5,1,217,4,low,M,11,884,1
F,Ship,3,1,130,9,medium,F,34,5171,0
C,Road,6,4,148,5,high,M,56,1058,1
B,Flight,2,1,119,10,low,M,40,6478,0
D,Ship,7,5,253,3,medium,F,26,4566,0
A,Flight,5,5,128,2,low,F,14,5755,1
B,Road,5,5,273,5,medium,F,35,6719,0
A,Flight,4,4,72,10,low,F,23,6769,0
B,Road,7,1,248,8,low,M,23,4943,0
B,Flight,6,2,172,10,low,M,27,4387,1
F,Flight,5,1,87,10,medium,F,2,966,1
D,Flight,2,4,208,10,low,F,2,4048,0
D,Ship,6,5,78,10,low,F,28,4585,0
B,Flight,5,4,221,8,medium,M,31,6749,0
C,Road,2,1,205,9,high,M,53,5469,0
C,Road,4,4,125,3,medium,F,37,4549,0
A,Ship,4,2,268,10,low,M,55,7025,1
A,Ship,2,4,117,3,low,F,64,2773,1
F,Road,6,3,70,9,high,M,20,4998,1
B,Flight,2,4,58,3,high,M,40,587,0
A,Road,7,1,98,9,low,F,19,6869,0
A,Ship,2,3,147,4,medium,F,59,6611,1
B,Ship,4,5,86,3,low,M,58,2869,1
F,Road,4,1,70,7,medium,F,54,6483,1
A,Flight,4,2,237,7,low,M,2,6459,0
F,Flight,7,4,72,2,low,M,13,5728,0
D,Ship,5,4,265,8,medium,F,44,4976,1
F,Road,7,1,187,2,high,F,59,7601,0
C,Road,5,4,279,5,high,M,48,3496,1
C,Ship,7,4,119,7,low,F,8,3772,0
F,Road,3,5,198,9,high,M,53,7018,0
C,Ship,5,4,150,9,medium,F,51,1296,0
D,Flight,6,4,78,8,medium,M,62,1594,1
B,Flight,6,5,108,6,high,F,51,3960,1
C,Road,4,4,217,7,low,M,21,7963,0
C,Flight,7,5,70,9,low,F,54,5779,0
F,Flight,2,2,135,4,high,M,2,5979,0
D,Ship,4,4,148,7,low,F,1,5366,1
B,Ship,2,1,112,5,high,M,58,7165,0
F,Road,7,3,95,4,medium,F,27,7835,0
F,Ship,4,2,182,4,low,M,36,3176,0
D,Road,4,4,64,5,medium,F,8,3408,0
B,Road,6,1,154,7,low,F,61,3488,1
D,Ship,2,3,160,2,medium,M,31,4166,1
B,Flight,3,5,132,3,low,F,34,4940,0
D,Flight,3,4,129,5,low,F,46,985,1
F,Flight,4,5,217,10,high,M,17,4257,1
F,Flight,7,2,160,9,medium,M,35,6461,0
A,Road,4,3,156,9,low,F,18,7846,1
C,Flight,6,3,136,8,high,F,24,3710,1
D,Road,2,5,53,7,low,F,45,6849,0
A,Ship,4,5,262,8,medium,F,59,2214,1
C,Ship,7,2,201,7,high,M,22,7634,1
D,Road,3,1,91,4,low,F,26,7262,0
B,Flight,2,4,168,7,medium,M,34,1990,0
C,Road,4,1,75,8,medium,F,54,7700,1
F,Flight,2,3,155,7,low,F,35,2677,0
A,Flight,6,4,243,3,low,F,8,6249,0
C,Road,3,2,153,7,medium,M,20,5200,1
C,Road,7,1,57,3,low,F,31,4677,0
F,Flight,2,1,122,2,medium,F,65,4705,0
D,Road,3,4,243,6,low,F,43,509,0
B,Flight,4,2,127,5,medium,F,64,4267,1
F,Road,7,2,197,10,low,F,14,3289,1
B,Ship,7,1,115,10,medium,M,26,1922,0
D,Flight,5,1,117,10,medium,F,15,1225,0
C,Ship,2,5,148,4,high,F,45,7182,0
B,Road,3,4,232,4,medium,M,47,7566,1
A,Ship,2,2,127,4,low,M,64,1993,1
A,Road,4,3,134,6,medium,M,18,3208,1
F,Flight,4,4,289,7,low,M,36,1938,0
D,Road,7,5,128,7,high,F,57,2224,1
F,Road,7,4,88,4,high,M,54,5747,0
F,Flight,3,1,99,3,low,M,52,2005,1
F,Road,6,4,69,7,low,M,46,4025,1
A,Flight,2,4,119,5,high,F,2,6912,0
A,Road,2,4,205,10,high,F,61,5019,0
F,Flight,4,3,166,3,medium,M,0,4098,0
A,Ship,2,5,161,5,high,F,38,5326,0
D,Road,3,4,220,3,high,F,32,5487,1
F,Road,5,4,243,6,medium,F,22,5038,1
A,Road,7,3,77,4,medium,M,33,6866,0
B,Flight,4,2,168,5,medium,F,48,4451,0
F,Road,7,4,147,10,low,F,48,925,1
F,Flight,7,4,255,6,low,F,48,1162,0
D,Road,7,2,122,10,medium,M,9,3379,1
C,Ship,5,4,200,6,medium,F,65,2913,0
C,Road,2,4,157,10,low,M,38,3670,1
D,Ship,6,4,212,9,high,F,41,6953,0
D,Flight,7,5,71,2,medium,M,0,2043,1
D,Ship,3,1,54,4,low,F,45,7658,0
C,Road,7,5,109,6,low,F,35,2644,0
D,Road,7,2,218,4,high,M,43,1082,1
A,Flight,2,5,206,2,low,M,30,5591,0
F,Road,3,5,212,3,medium,F,57,4062,1
F,Road,2,3,163,3,low,F,3,4992,0
B,Flight,7,2,147,5,low,F,52,6813,0
B,Flight,2,2,245,7,high,F,56,1682,1
F,Ship,2,2,94,3,medium,M,49,2560,1
A,Flight,4,5,162,7,medium,F,4,2326,0
C,Road,5,2,186,2,low,F,51,7787,0
C,Flight,6,3,228,9,medium,M,16,5925,1
A,Road,5,4,63,4,low,M,31,826,0
C,Ship,5,5,286,9,high,F,5,7049,0
D,Flight,3,4,118,4,high,M,60,4507,1
F,Road,4,4,163,2,medium,M,9,2471,0
F,Flight,4,5,105,5,low,F,22,3708,0
A,Flight,2,5,160,4,low,M,52,4499,0
C,Flight,5,2,140,9,low,M,60,3030,1
B,Flight,6,3,60,2,medium,M,18,5110,0
B,Ship,3,5,207,10,low,M,3,2568,0
C,Road,4,4,164,10,low,F,45,4465,0
B,Flight,2,5,150,7,medium,M,31,2796,1
A,Road,6,3,216,6,medium,M,45,4160,1
A,Ship,5,1,147,6,medium,M,61,6996,0
C,Road,6,4,164,7,high,M,53,3479,1
B,Road,4,1,201,8,high,F,23,2813,0
A,Ship,3,1,129,9,medium,F,65,2263,0
A,Flight,5,3,107,4,medium,M,17,4997,1
D,Road,3,5,79,2,medium,M,47,2258,1
D,Road,7,1,201,6,low,F,45,3296,1
A,Flight,6,2,116,2,medium,M,47,987,1
C,Flight,6,5,78,3,medium,F,61,5876,1
F,Road,2,4,91,9,low,F,26,1426,0
F,Ship,5,5,253,4,medium,M,61,4493,0
A,Flight,6,3,168,5,medium,M,64,1049,0
A,Flight,4,3,111,7,low,M,51,7338,1
A,Ship,7,4,204,9,low,F,0,7231,1
C,Road,4,4,78,2,low,F,49,7651,0
D,Flight,3,4,243,3,medium,M,39,2462,0
A,Road,7,3,234,7,medium,M,16,1566,0
A,Road,7,5,238,9,low,F,0,7718,1
B,Road,4,1,78,9,low,M,29,7760,0
C,Ship,6,1,153,4,medium,F,21,1455,1
A,Road,4,2,106,5,high,M,34,3373,1
B,Road,5,3,250,5,high,F,55,2239,1
F,Flight,3,4,104,5,medium,F,13,3576,1
A,Flight,7,5,165,3,medium,M,44,5661,1
A,Ship,5,3,221,7,high,M,32,7925,0
B,Ship,6,2,177,9,medium,M,11,4015,0
C,Flight,6,1,205,10,low,F,23,6527,0
A,Flight,4,5,214,2,medium,M,56,3969,0
F,Ship,2,1,200,2,low,F,8,1058,0
A,Road,7,5,126,10,medium,F,1,1065,0
F,Ship,7,4,118,5,medium,F,58,1558,0
D,Road,2,5,273,8,high,F,28,2927,0
D,Flight,6,4,269,3,low,M,54,1028,0
F,Flight,6,3,107,2,medium,F,21,4982,0
C,Flight,7,1,256,8,medium,M,48,6716,0
A,Road,3,5,265,7,low,M,11,6575,1
A,Ship,7,5,209,4,medium,F,7,4538,0
D,Road,6,2,134,5,medium,F,15,4915,0
F,Ship,6,1,118,2,low,F,39,3399,1
A,Ship,3,3,150,8,low,F,44,2480,1
A,Ship,5,4,85,10,low,M,63,3569,1
C,Flight,5,3,269,2,medium,F,62,1855,0
B,Ship,3,2,209,3,medium,F,50,2554,0
D,Flight,3,3,236,3,medium,F,9,2000,1
D,Ship,5,4,177,7,low,F,44,3433,0
B,Ship,5,1,237,6,medium,F,55,4913,0
A,Flight,5,2,136,7,low,M,12,7568,0
C,Flight,5,5,257,2,low,F,63,4205,1
C,Road,7,5,291,7,low,F,29,7536,0
D,Ship,7,1,123,7,low,M,51,3589,1
C,Flight,4,3,142,8,low,M,53,4341,0
B,Road,3,5,293,3,medium,F,56,1187,1
A,Road,2,2,204,7,high,M,17,4606,1
B,Flight,4,4,148,10,low,M,24,2317,1
F,Ship,2,3,283,10,low,M,52,6257,1
D,Road,2,4,286,3,high,F,19,7630,1
C,Ship,6,3,73,6,high,F,10,5766,1
F,Ship,3,2,136,8,medium,M,39,1454,1
C,Road,7,4,116,6,low,F,22,5337,0
A,Flight,4,2,213,4,low,F,41,6215,0
A,Ship,3,4,286,2,high,M,46,7552,0
A,Flight,5,3,191,8,high,F,55,4089,0
C,Road,3,2,117,9,medium,F,32,7832,0
F,Ship,2,3,221,7,high,F,25,4716,1
A,Flight,7,3,225,8,low,F,28,1588,1
F,Flight,5,4,155,10,low,F,59,2855,1
C,Ship,3,4,168,3,low,F,36,1269,1
F,Flight,3,2,81,6,low,F,24,3801,0
C,Flight,7,5,297,4,medium,F,43,2588,0
C,Road,2,1,261,3,high,M,33,4401,1
D,Road,5,4,169,4,low,F,11,7697,0
C,Flight,2,3,194,5,low,M,38,5707,0
C,Flight,7,1,270,3,low,M,18,7388,0
B,Ship,3,2,234,3,low,F,18,3353,0
A,Road,4,1,216,9,high,F,28,7374,1
D,Ship,4,1,209,4,medium,M,65,5905,0
D,Flight,6,5,245,4,medium,M,19,2673,1
D,Ship,4,5,265,5,low,M,56,5244,1
B,Flight,7,1,285,6,medium,F,8,1112,0
C,Road,7,5,283,4,medium,M,1,2819,1
A,Road,7,5,179,7,low,M,27,2383,1
F,Flight,5,1,127,4,low,F,33,1343,1
C,Road,6,4,281,9,medium,F,20,1343,0
B,Flight,5,5,219,5,medium,M,55,7718,0
C,Ship,4,1,87,6,low,F,4,4588,1
C,Flight,4,4,104,4,low,F,21,7676,0
B,Ship,3,5,232,6,low,F,58,2448,0
D,Flight,5,1,83,8,high,M,39,5990,0
D,Road,2,5,95,4,low,F,62,7334,0
A,Flight,3,4,220,4,low,M,31,712,1
A,Flight,5,1,179,2,medium,F,44,1156,0
D,Flight,7,4,213,3,medium,F,32,4244,0
F,Road,6,3,119,5,low,F,34,6421,0
C,Flight,5,2,85,10,medium,M,45,1613,0
F,Road,6,3,199,4,low,F,35,7145,0
C,Flight,6,5,118,6,low,M,61,1413,0
D,Ship,4,4,215,10,low,M,25,2137,0
A,Flight,2,1,154,5,low,F,6,2124,1
A,Ship,5,4,103,5,low,F,4,7591,0
F,Road,2,5,199,7,low,F,31,6566,1
A,Road,6,1,161,8,high,F,56,725,0
D,Flight,4,3,252,7,low,M,61,5231,0
F,Road,2,4,156,5,low,M,27,4645,0
C,Flight,3,2,297,8,high,M,65,5155,0
A,Road,6,5,208,4,low,M,40,5920,1
B,Ship,3,5,102,4,low,M,65,2626,1
A,Road,7,4,166,8,medium,F,63,6474,1
C,Ship,2,3,155,7,low,F,6,2080,0
F,Flight,2,3,142,3,medium,M,40,1337,0
C,Flight,2,2,108,2,medium,F,44,1370,0
B,Flight,7,2,146,7,low,M,43,4373,1
D,Ship,5,4,135,10,low,F,29,2478,1
A,Flight,6,1,226,4,medium,F,37,5229,0
F,Flight,6,3,76,10,medium,F,38,7841,1
D,Ship,6,1,121,7,medium,M,18,7090,0
C,Road,5,1,171,5,low,F,46,2122,1
F,Flight,2,4,289,3,low,M,37,4162,0
D,Road,2,2,234,10,low,F,16,6261,0
F,Road,7,1,183,6,medium,M,3,7449,1
B,Flight,3,4,223,6,low,F,34,5452,0
B,Flight,5,2,74,3,high,M,0,5599,1
A,Ship,4,1,147,6,low,F,57,4411,0
A,Ship,5,1,186,7,low,M,21,4143,1
B,Flight,7,2,113,3,medium,F,4,3134,0
F,Road,3,2,277,2,low,M,59,1040,0
B,Ship,3,5,208,7,medium,M,35,4655,0
A,Ship,3,5,196,10,high,F,8,5688,0
B,Flight,2,4,162,10,high,M,56,6296,0
B,Flight,4,4,114,10,low,F,3,5191,0
F,Flight,3,3,265,6,low,M,50,5375,0
D,Flight,6,5,147,2,high,M,38,5618,1
A,Ship,2,2,194,4,medium,M,51,840,0
F,Ship,4,5,83,9,low,M,54,2200,1
B,Ship,6,4,276,10,medium,M,30,2221,0
B,Road,4,4,213,5,medium,F,49,3114,0
D,Ship,7,4,190,4,low,M,7,1893,0
A,Ship,4,2,108,3,high,F,14,2056,0
A,Flight,6,1,138,6,low,F,64,6095,1
C,Ship,5,4,296,3,low,F,9,7893,1
A,Ship,4,5,125,10,medium,M,40,4456,0
D,Ship,5,1,198,10,low,F,47,7035,1
C,Flight,4,5,150,4,medium,F,20,2913,0
C,Ship,7,4,159,5,medium,M,23,1874,0
B,Ship,6,2,279,10,low,M,22,7816,0
B,Road,4,1,242,2,low,M,32,4406,1
A,Road,3,1,289,8,medium,M,35,5806,1
C,Road,7,4,55,3,high,F,24,6768,1
B,Road,3,4,286,10,high,M,57,4514,1
D,Flight,7,4,158,4,low,F,65,4936,1
B,Road,7,3,60,7,medium,F,30,7888,0
B,Ship,4,2,129,6,low,M,43,3245,0
C,Road,6,2,199,3,low,M,62,1124,0
C,Flight,6,4,287,10,medium,M,44,4749,0
F,Road,2,3,188,4,low,F,49,2048,0
D,Road,6,4,214,7,high,M,0,4085,1
C,Flight,5,4,75,10,medium,M,8,740,0
A,Flight,4,2,234,9,low,M,34,2708,0
D,Flight,3,3,203,6,low,M,12,6674,1
D,Flight,6,2,155,7,high,F,25,2100,1
C,Flight,3,4,198,4,low,F,44,6825,1
D,Flight,2,5,234,6,low,M,50,5210,0
C,Ship,4,1,203,7,low,M,24,7272,0
B,Road,6,4,64,4,low,M,55,6786,1
F,Road,3,3,152,3,high,M,38,5959,1
B,Flight,7,5,240,10,low,F,2,1703,0
C,Flight,6,3,212,8,low,M,52,3898,0
C,Ship,2,4,188,5,medium,M,32,599,0
B,Ship,7,4,250,4,medium,M,61,1694,1
A,Flight,3,1,155,5,medium,F,3,6399,0
A,Ship,3,3,264,10,low,F,58,7872,0
A,Ship,4,5,117,10,low,M,16,7160,1
C,Flight,4,1,271,7,high,M,21,6622,0
D,Flight,3,3,269,10,low,F,37,1657,1
C,Flight,7,4,138,10,medium,M,30,4088,1
D,Flight,4,1,263,7,high,M,48,5024,1
B,Road,3,4,266,6,low,M,51,5146,1
F,Road,7,2,293,4,high,M,37,7518,0
D,Flight,5,2,267,2,low,F,48,738,0
A,Ship,6,1,227,5,high,F,26,7481,1
C,Flight,5,1,78,2,medium,F,22,5353,0
B,Road,5,3,287,2,low,M,26,3961,1
A,Ship,6,5,113,7,medium,F,13,2366,0
B,Road,3,5,218,6,high,F,2,1998,0
F,Flight,3,2,145,8,medium,F,26,7171,0
C,Road,4,2,203,2,medium,F,61,5472,1
C,Road,2,2,77,2,medium,F,13,2505,0
F,Road,3,4,133,9,medium,F,43,4755,0
C,Ship,6,5,225,7,low,F,24,1804,1
D,Road,2,1,243,9,medium,M,60,6469,1
B,Ship,6,2,72,7,medium,M,51,4678,1
A,Flight,6,3,88,7,low,F,11,4451,1
F,Flight,6,1,118,8,low,M,33,4049,1
D,Road,2,1,70,3,high,F,22,6166,0
A,Ship,5,1,169,4,low,M,18,7782,1
A,Flight,7,5,135,5,low,F,0,2209,0
F,Ship,6,2,226,2,low,F,64,2483,1
D,Ship,4,3,252,10,low,F,4,7465,0
A,Road,3,4,143,10,low,M,56,4622,0
A,Road,7,3,141,5,low,M,21,3013,1
D,Ship,3,3,213,2,high,F,42,1536,1
C,Ship,3,3,130,2,low,M,1,2399,0
A,Road,2,4,134,7,high,F,6,2962,1
B,Ship,4,3,214,3,low,M,20,7272,0
D,Road,4,3,277,2,medium,F,58,2998,1
A,Ship,7,2,176,3,medium,F,8,4626,1
F,Road,4,2,266,8,medium,M,39,6859,1
B,Ship,4,2,137,5,low,F,48,689,1
A,Road,4,1,143,8,medium,F,11,5912,0
B,Ship,7,3,177,8,low,F,9,3209,0
B,Flight,5,5,91,5,low,F,16,1876,1
C,Flight,4,5,239,3,low,M,3,4256,0
B,Ship,4,5,148,10,low,F,63,7664,0
C,Flight,2,4,262,4,low,M,15,7810,1
D,Ship,2,2,183,2,medium,M,48,3417,0
C,Ship,4,2,262,9,high,F,26,7662,0
F,Flight,5,2,185,5,low,F,5,6705,1
A,Ship,4,4,118,10,low,F,8,2141,0
D,Road,4,3,89,9,low,M,57,705,1
D,Ship,4,1,187,8,medium,F,31,7971,0
F,Ship,6,2,80,10,high,M,37,3695,1
C,Flight,5,3,299,3,low,F,29,3074,0
A,Road,3,5,79,5,high,F,44,3051,1
C,Ship,4,1,228,6,low,M,28,5392,0
B,Ship,3,5,134,6,low,F,21,5133,0
C,Ship,5,3,213,2,low,F,30,3337,1
D,Ship,4,3,110,10,low,F,16,6263,0
A,Ship,3,5,76,10,low,M,53,7956,1
C,Ship,7,1,279,6,low,M,46,3244,1
A,Road,3,5,84,4,medium,F,31,3640,1
A,Road,5,5,109,9,low,M,27,2575,1
B,Ship,4,5,81,8,low,M,10,2674,1
B,Ship,6,1,139,6,low,F,38,2020,1
D,Flight,5,4,181,2,medium,M,16,3094,0
F,Road,6,1,140,8,low,F,38,5011,1
A,Road,4,5,149,2,low,M,24,7504,0
F,Ship,3,2,278,2,low,F,25,2721,0
D,Road,7,2,76,10,low,M,61,3851,0
A,Road,7,3,96,7,medium,M,18,5713,1
A,Flight,5,4,289,8,low,F,12,4924,0
F,Flight,5,3,183,3,low,F,28,1394,0
C,Road,5,3,259,9,medium,M,53,2211,1
B,Road,2,2,75,8,high,F,41,3497,1
C,Road,7,1,285,6,high,F,61,7557,0
F,Ship,7,3,73,9,high,F,20,6398,0
B,Flight,4,3,293,3,medium,F,8,5769,0
C,Ship,2,4,248,7,high,F,44,5464,0
B,Flight,5,2,168,5,low,M,26,6858,1
A,Flight,5,1,93,8,medium,M,47,6096,1
C,Flight,6,4,191,7,high,M,4,5740,0
B,Road,2,1,190,7,medium,F,14,4544,0
B,Flight,3,1,203,6,high,M,43,3923,1
B,Ship,7,3,92,6,low,F,46,5421,0
C,Flight,4,4,92,3,low,M,31,3679,1
D,Ship,3,3,115,8,low,F,35,3773,1
C,Flight,3,5,159,8,low,M,48,2206,1
F,Flight,4,1,160,9,high,M,52,7011,1
C,Road,5,4,264,5,high,M,22,1913,1
B,Ship,7,2,205,10,medium,F,33,6344,0
A,Flight,6,3,50,4,low,F,17,7830,0
C,Flight,5,5,273,4,low,M,11,6518,0
C,Ship,5,5,189,3,medium,F,1,1096,1
B,Flight,2,5,159,8,medium,M,26,4295,0
A,Road,3,3,227,3,low,M,49,2917,0
A,Ship,3,2,230,8,low,M,30,3230,0
F,Road,7,4,297,4,medium,M,47,5909,0
C,Ship,3,1,109,2,medium,M,16,4854,0
A,Ship,6,2,232,9,low,M,42,5792,0
A,Ship,6,3,212,9,low,F,17,2336,0
D,Flight,6,4,238,2,medium,F,65,3675,1
D,Ship,4,1,75,7,low,M,30,4978,0
A,Ship,7,4,208,5,high,F,62,5272,1
F,Ship,6,1,106,6,low,F,27,5416,0
A,Road,2,1,189,9,high,M,8,7032,1
B,Ship,2,5,270,9,low,M,27,5413,0
C,Flight,5,3,182,8,medium,M,17,6590,1
F,Ship,5,2,276,6,low,F,14,1459,1
B,Ship,7,5,184,7,high,M,4,4707,0
F,Road,5,5,193,9,low,F,40,1028,1
B,Flight,5,4,273,6,medium,M,65,507,1
C,Flight,2,1,101,4,high,F,50,3612,1
C,Flight,5,1,130,10,low,M,15,7522,0
D,Ship,2,4,198,10,medium,F,64,3058,1
B,Ship,6,3,76,2,high,F,56,5641,1
D,Flight,6,1,281,8,low,F,36,7251,1
B,Flight,7,5,160,5,low,F,38,1294,0
D,Road,4,5,165,7,medium,F,64,4653,1
C,Flight,5,1,128,8,medium,M,48,6802,1
F,Ship,6,1,72,9,low,F,46,5166,0
D,Ship,6,3,176,6,medium,M,39,2295,0
B,Ship,7,1,249,6,low,F,13,4002,1
B,Road,3,3,74,7,medium,M,39,6746,1
C,Flight,3,5,188,8,low,F,47,6353,0
B,Ship,7,3,112,6,low,F,31,1694,1
A,Road,2,1,234,6,medium,M,38,5992,1
F,Road,4,2,134,5,medium,F,32,3924,1
D,Ship,7,1,231,2,low,F,29,1362,0
F,Road,3,2,168,8,medium,F,25,5423,0
C,Road,4,5,59,8,medium,M,42,3020,1
D,Ship,6,4,227,7,medium,F,54,6635,0
D,Road,7,5,250,3,medium,M,43,2797,1
A,Ship,2,5,161,3,low,F,2,4580,1
C,Ship,4,5,178,7,medium,F,6,1074,1
B,Road,3,3,263,10,low,F,57,5508,0
A,Ship,6,5,119,6,high,F,9,7404,0
A,Ship,7,4,207,8,medium,F,9,6738,1
F,Flight,5,1,104,3,low,F,41,7717,0
F,Ship,6,2,147,7,low,M,33,7255,0
F,Flight,3,5,254,7,low,M,25,5985,1
A,Flight,7,2,135,7,low,M,59,2270,0
B,Flight,3,5,183,7,medium,F,1,4612,0
D,Flight,5,3,154,5,high,M,44,3453,1
F,Road,6,2,287,6,medium,F,4,6758,1
B,Road,4,5,73,5,medium,M,25,4899,1
